Word,compound_lemmas
a-bit,abit;abits;a bit;a bits
fall-into-place,fallintoplace;fallintoplaces;fall into place;fall into places
fall-on-deaf-ears,fallondeafears;fallondeafearss;fall on deaf ears;fall on deaf earss
fall-out,fallout;fallouts;fall out;fall outs
fall-over,fallover;fallovers;fall over;fall overs
fall-through,fallthrough;fallthroughs;fall through;fall throughs
false-negative,falsenegative;falsenegatives;false negative;false negatives
family-history,familyhistory;familyhistorys;family history;family historys
far-from-it,farfromit;farfromits;far from it;far from its
fast-asleep,fastasleep;fastasleeps;fast asleep;fast asleeps
fast-food,fastfood;fastfoods;fast food;fast foods
fear-the-worst,feartheworst;feartheworsts;fear the worst;fear the worsts
fed-up,fedup;fedups;fed up;fed ups
feel-at-home,feelathome;feelathomes;feel at home;feel at homes
feel-faint,feelfaint;feelfaints;feel faint;feel faints
feel-sorry-for,feelsorryfor;feelsorryfors;feel sorry for;feel sorry fors
fend-for-yourself,fendforyourself;fendforyourselfs;fend for yourself;fend for yourselfs
few-and-far-between,fewandfarbetween;fewandfarbetweens;few and far between;few and far betweens
fire-department,firedepartment;firedepartments;fire department;fire departments
fire-station,firestation;firestations;fire station;fire stations
first-and-foremost,firstandforemost;firstandforemosts;first and foremost;first and foremosts
first-language,firstlanguage;firstlanguages;first language;first languages
first-name,firstname;firstnames;first name;first names
first-responder,firstresponder;firstresponders;first responder;first responders
fit-in,fitin;fitins;fit in;fit ins
fly-in-the-face-of,flyinthefaceof;flyinthefaceofs;fly in the face of;fly in the face ofs
follow-suit,followsuit;followsuits;follow suit;follow suits
foot-the-bill,footthebill;footthebills;foot the bill;foot the bills
for-all,forall;foralls;for all;for alls
for-days,fordays;fordayss;for days;for dayss
for-ever,forever;forevers;for ever;for evers
for-example,forexample;forexamples;for example;for examples
for-fun-or-for-the-fun-of-it,forfunorforthefunofit;forfunorforthefunofits;for fun or for the fun of it;for fun or for the fun of its
for-good,forgood;forgoods;for good;for goods
for-instance,forinstance;forinstances;for instance;for instances
for-life,forlife;forlifes;for life;for lifes
for-long,forlong;forlongs;for long;for longs
for-nothing,fornothing;fornothings;for nothing;for nothings
for-once,foronce;foronces;for once;for onces
for-one-thing,foronething;foronethings;for one thing;for one things
for-real,forreal;forreals;for real;for reals
for-sale,forsale;forsales;for sale;for sales
for-some-time,forsometime;forsometimes;for some time;for some times
for-sure,forsure;forsures;for sure;for sures
for-the-best,forthebest;forthebests;for the best;for the bests
for-the-moment,forthemoment;forthemoments;for the moment;for the moments
for-the-most-part,forthemostpart;forthemostparts;for the most part;for the most parts
for-years,foryears;foryearss;for years;for yearss
force-majeure,forcemajeure;forcemajeures;force majeure;force majeures
forensic-science,forensicscience;forensicsciences;forensic science;forensic sciences
forensic-scientist,forensicscientist;forensicscientists;forensic scientist;forensic scientists
forget-it,forgetit;forgetits;forget it;forget its
forgive-me,forgiveme;forgivemes;forgive me;forgive mes
foul-language,foullanguage;foullanguages;foul language;foul languages
frame-of-mind,frameofmind;frameofminds;frame of mind;frame of minds
fresh-air,freshair;freshairs;fresh air;fresh airs
fresh-water,freshwater;freshwaters;fresh water;fresh waters
from-scratch,fromscratch;fromscratchs;from scratch;from scratchs
from-side-to-side,fromsidetoside;fromsidetosides;from side to side;from side to sides
from-time-to-time,fromtimetotime;fromtimetotimes;from time to time;from time to times
from-top-to-bottom,fromtoptobottom;fromtoptobottoms;from top to bottom;from top to bottoms
frying-pan,fryingpan;fryingpans;frying pan;frying pans
full-time,fulltime;fulltimes;full time;full times
gas-station,gasstation;gasstations;gas station;gas stations
genetically-modified,geneticallymodified;geneticallymodifieds;genetically modified;genetically modifieds
get-a-move-on,getamoveon;getamoveons;get a move on;get a move ons
get-along,getalong;getalongs;get along;get alongs
get-away,getaway;getaways;get away;get aways
get-back,getback;getbacks;get back;get backs
get-in,getin;getins;get in;get ins
get-in-touch,getintouch;getintouchs;get in touch;get in touchs
get-married,getmarried;getmarrieds;get married;get marrieds
get-moving,getmoving;getmovings;get moving;get movings
get-out,getout;getouts;get out;get outs
get-out-of-hand,getoutofhand;getoutofhands;get out of hand;get out of hands
get-the-picture,getthepicture;getthepictures;get the picture;get the pictures
get-together,gettogether;gettogethers;get together;get togethers
get-underway,getunderway;getunderways;get underway;get underways
get-up,getup;getups;get up;get ups
get-worse,getworse;getworses;get worse;get worses
get-you-nowhere,getyounowhere;getyounowheres;get you nowhere;get you nowheres
get-your-act-together,getyouracttogether;getyouracttogethers;get your act together;get your act togethers
give-a-party,giveaparty;giveapartys;give a party;give a partys
give-birth,givebirth;givebirths;give birth;give births
give-in,givein;giveins;give in;give ins
give-up,giveup;giveups;give up;give ups
give-way,giveway;giveways;give way;give ways
global-warming,globalwarming;globalwarmings;global warming;global warmings
go-against-the-grain,goagainstthegrain;goagainstthegrains;go against the grain;go against the grains
go-ahead,goahead;goaheads;go ahead;go aheads
go-away,goaway;goaways;go away;go aways
go-back,goback;gobacks;go back;go backs
go-blank,goblank;goblanks;go blank;go blanks
go-by,goby;gobys;go by;go bys
go-crazy,gocrazy;gocrazys;go crazy;go crazys
go-down,godown;godowns;go down;go downs
go-downhill,godownhill;godownhills;go downhill;go downhills
go-hand-in-hand,gohandinhand;gohandinhands;go hand in hand;go hand in hands
go-in,goin;goins;go in;go ins
go-into-detail,gointodetail;gointodetails;go into detail;go into details
go-off,gooff;gooffs;go off;go offs
go-on,goon;goons;go on;go ons
go-out,goout;goouts;go out;go outs
go-overboard,gooverboard;gooverboards;go overboard;go overboards
go-red,gored;goreds;go red;go reds
go-shopping,goshopping;goshoppings;go shopping;go shoppings
go-through-the-motions,gothroughthemotions;gothroughthemotionss;go through the motions;go through the motionss
go-through-the-roof,gothroughtheroof;gothroughtheroofs;go through the roof;go through the roofs
go-to-the-bathroom,gotothebathroom;gotothebathrooms;go to the bathroom;go to the bathrooms
go-too-far,gotoofar;gotoofars;go too far;go too fars
go-up,goup;goups;go up;go ups
go-with-the-flow,gowiththeflow;gowiththeflows;go with the flow;go with the flows
go-wrong,gowrong;gowrongs;go wrong;go wrongs
good-afternoon,goodafternoon;goodafternoons;good afternoon;good afternoons
good-evening,goodevening;goodevenings;good evening;good evenings
good-for-you,goodforyou;goodforyous;good for you;good for yous
good-morning,goodmorning;goodmornings;good morning;good mornings
good-night,goodnight;goodnights;good night;good nights
great-big,greatbig;greatbigs;great big;great bigs
grin-and-bear-it,grinandbearit;grinandbearits;grin and bear it;grin and bear its
grit-your-teeth,grityourteeth;grityourteeths;grit your teeth;grit your teeths
grocery-store,grocerystore;grocerystores;grocery store;grocery stores
grow-up,growup;growups;grow up;grow ups
hair-dryer,hairdryer;hairdryers;hair dryer;hair dryers
half-price,halfprice;halfprices;half price;half prices
hand-in-hand,handinhand;handinhands;hand in hand;hand in hands
hang-in-the-balance,hanginthebalance;hanginthebalances;hang in the balance;hang in the balances
hang-on,hangon;hangons;hang on;hang ons
hang-out,hangout;hangouts;hang out;hang outs
hang-up,hangup;hangups;hang up;hang ups
hard-drive,harddrive;harddrives;hard drive;hard drives
hard-feelings,hardfeelings;hardfeelingss;hard feelings;hard feelingss
hardly-ever,hardlyever;hardlyevers;hardly ever;hardly evers
have-a-chip-on-your-shoulder,haveachiponyourshoulder;haveachiponyourshoulders;have a chip on your shoulder;have a chip on your shoulders
have-a-temperature,haveatemperature;haveatemperatures;have a temperature;have a temperatures
have-had-enough,havehadenough;havehadenoughs;have had enough;have had enoughs
have-no-doubt,havenodoubt;havenodoubts;have no doubt;have no doubts
have-no-idea,havenoidea;havenoideas;have no idea;have no ideas
have-seen-better-days,haveseenbetterdays;haveseenbetterdayss;have seen better days;have seen better dayss
have-the-upper-hand,havetheupperhand;havetheupperhands;have the upper hand;have the upper hands
have-your-hands-full,haveyourhandsfull;haveyourhandsfulls;have your hands full;have your hands fulls
head-off,headoff;headoffs;head off;head offs
health-care,healthcare;healthcares;health care;health cares
heart-attack,heartattack;heartattacks;heart attack;heart attacks
here-and-there,hereandthere;hereandtheres;here and there;here and theres
high-profile,highprofile;highprofiles;high profile;high profiles
high-school,highschool;highschools;high school;high schools
hit-it-off,hititoff;hititoffs;hit it off;hit it offs
hit-the-roof,hittheroof;hittheroofs;hit the roof;hit the roofs
hold-a-conversation,holdaconversation;holdaconversations;hold a conversation;hold a conversations
hold-down-a-job,holddownajob;holddownajobs;hold down a job;hold down a jobs
hold-on,holdon;holdons;hold on;hold ons
hold-out-hope,holdouthope;holdouthopes;hold out hope;hold out hopes
hold-your-breath,holdyourbreath;holdyourbreaths;hold your breath;hold your breaths
hold-your-own,holdyourown;holdyourowns;hold your own;hold your owns
hot-chocolate,hotchocolate;hotchocolates;hot chocolate;hot chocolates
hot-dog,hotdog;hotdogs;hot dog;hot dogs
how-come,howcome;howcomes;how come;how comes
how-far,howfar;howfars;how far;how fars
how-many,howmany;howmanys;how many;how manys
human-rights,humanrights;humanrightss;human rights;human rightss
hurry-up,hurryup;hurryups;hurry up;hurry ups
i-forget,iforget;iforgets;i forget;i forgets
i-guess,iguess;iguesss;i guess;i guesss
i-know,iknow;iknows;i know;i knows
i-mean,imean;imeans;i mean;i means
i-suppose,isuppose;isupposes;i suppose;i supposes
i-told-you-so,itoldyouso;itoldyousos;i told you so;i told you sos
ice-cream,icecream;icecreams;ice cream;ice creams
ice-hockey,icehockey;icehockeys;ice hockey;ice hockeys
ice-skating,iceskating;iceskatings;ice skating;ice skatings
id-card,idcard;idcards;id card;id cards
if-i-were-you,ifiwereyou;ifiwereyous;if i were you;if i were yous
if-need-be,ifneedbe;ifneedbes;if need be;if need bes
if-not,ifnot;ifnots;if not;if nots
if-only,ifonly;ifonlys;if only;if onlys
if-so,ifso;ifsos;if so;if sos
if-you-ask-me,ifyouaskme;ifyouaskmes;if you ask me;if you ask mes
if-you-like,ifyoulike;ifyoulikes;if you like;if you likes
ill-at-ease,illatease;illateases;ill at ease;ill at eases
immune-system,immunesystem;immunesystems;immune system;immune systems
immunize-,immunize;immunizes;immunize ;immunize s
implied-trust,impliedtrust;impliedtrusts;implied trust;implied trusts
in-a-big-way,inabigway;inabigways;in a big way;in a big ways
in-a-fix,inafix;inafixs;in a fix;in a fixs
in-a-flash,inaflash;inaflashs;in a flash;in a flashs
in-a-nutshell,inanutshell;inanutshells;in a nutshell;in a nutshells
in-a-row,inarow;inarows;in a row;in a rows
in-a-rut,inarut;inaruts;in a rut;in a ruts
in-a-sense,inasense;inasenses;in a sense;in a senses
in-actual-fact,inactualfact;inactualfacts;in actual fact;in actual facts
in-advance,inadvance;inadvances;in advance;in advances
in-all,inall;inalls;in all;in alls
in-all-likelihood,inalllikelihood;inalllikelihoods;in all likelihood;in all likelihoods
in-all-probability,inallprobability;inallprobabilitys;in all probability;in all probabilitys
in-any-case,inanycase;inanycases;in any case;in any cases
in-any-event,inanyevent;inanyevents;in any event;in any events
in-association-with,inassociationwith;inassociationwiths;in association with;in association withs
in-attendance,inattendance;inattendances;in attendance;in attendances
in-brief,inbrief;inbriefs;in brief;in briefs
in-bulk,inbulk;inbulks;in bulk;in bulks
in-cold-blood,incoldblood;incoldbloods;in cold blood;in cold bloods
in-conclusion,inconclusion;inconclusions;in conclusion;in conclusions
in-confidence,inconfidence;inconfidences;in confidence;in confidences
in-demand,indemand;indemands;in demand;in demands
in-depth,indepth;indepths;in depth;in depths
in-detail,indetail;indetails;in detail;in details
in-due-course,induecourse;induecourses;in due course;in due courses
in-effect,ineffect;ineffects;in effect;in effects
in-essence,inessence;inessences;in essence;in essences
in-fact,infact;infacts;in fact;in facts
in-force,inforce;inforces;in force;in forces
in-front,infront;infronts;in front;in fronts
in-full,infull;infulls;in full;in fulls
in-general,ingeneral;ingenerals;in general;in generals
in-hand,inhand;inhands;in hand;in hands
in-isolation,inisolation;inisolations;in isolation;in isolations
in-its-infancy,initsinfancy;initsinfancys;in its infancy;in its infancys
in-itself,initself;initselfs;in itself;in itselfs
in-law,inlaw;inlaws;in law;in laws
in-love,inlove;inloves;in love;in loves
in-miniature,inminiature;inminiatures;in miniature;in miniatures
in-moderation,inmoderation;inmoderations;in moderation;in moderations
in-my-humble-opinion,inmyhumbleopinion;inmyhumbleopinions;in my humble opinion;in my humble opinions
in-no-time,innotime;innotimes;in no time;in no times
in-no-uncertain-terms,innouncertainterms;innouncertaintermss;in no uncertain terms;in no uncertain termss
in-other-words,inotherwords;inotherwordss;in other words;in other wordss
in-part,inpart;inparts;in part;in parts
in-particular,inparticular;inparticulars;in particular;in particulars
in-person,inperson;inpersons;in person;in persons
in-perspective,inperspective;inperspectives;in perspective;in perspectives
in-place,inplace;inplaces;in place;in places
in-practice,inpractice;inpractices;in practice;in practices
in-private,inprivate;inprivates;in private;in privates
in-progress,inprogress;inprogresss;in progress;in progresss
in-proportion-to,inproportionto;inproportiontos;in proportion to;in proportion tos
in-public,inpublic;inpublics;in public;in publics
in-reserve,inreserve;inreserves;in reserve;in reserves
in-response-to,inresponseto;inresponsetos;in response to;in response tos
in-retrospect,inretrospect;inretrospects;in retrospect;in retrospects
in-return,inreturn;inreturns;in return;in returns
in-reverse,inreverse;inreverses;in reverse;in reverses
in-safe-hands,insafehands;insafehandss;in safe hands;in safe handss
in-season,inseason;inseasons;in season;in seasons
in-secret,insecret;insecrets;in secret;in secrets
in-short,inshort;inshorts;in short;in shorts
in-stock,instock;instocks;in stock;in stocks
in-store,instore;instores;in store;in stores
in-tears,intears;intearss;in tears;in tearss
in-that,inthat;inthats;in that;in thats
in-that-case,inthatcase;inthatcases;in that case;in that cases
in-the-bargain,inthebargain;inthebargains;in the bargain;in the bargains
in-the-blink-of-an-eye,intheblinkofaneye;intheblinkofaneyes;in the blink of an eye;in the blink of an eyes
in-the-clear,intheclear;intheclears;in the clear;in the clears
in-the-dark,inthedark;inthedarks;in the dark;in the darks
in-the-end,intheend;intheends;in the end;in the ends
in-the-fast-lane,inthefastlane;inthefastlanes;in the fast lane;in the fast lanes
in-the-first-place,inthefirstplace;inthefirstplaces;in the first place;in the first places
in-the-future,inthefuture;inthefutures;in the future;in the futures
in-the-long-run,inthelongrun;inthelongruns;in the long run;in the long runs
in-the-long-term,inthelongterm;inthelongterms;in the long term;in the long terms
in-the-meantime,inthemeantime;inthemeantimes;in the meantime;in the meantimes
in-the-middle-of-nowhere,inthemiddleofnowhere;inthemiddleofnowheres;in the middle of nowhere;in the middle of nowheres
in-the-morning,inthemorning;inthemornings;in the morning;in the mornings
in-the-near-future,inthenearfuture;inthenearfutures;in the near future;in the near futures
in-the-picture,inthepicture;inthepictures;in the picture;in the pictures
in-the-process,intheprocess;intheprocesss;in the process;in the processs
in-the-same-way,inthesameway;inthesameways;in the same way;in the same ways
in-the-short-term,intheshortterm;intheshortterms;in the short term;in the short terms
in-theory,intheory;intheorys;in theory;in theorys
in-those-days,inthosedays;inthosedayss;in those days;in those dayss
in-time,intime;intimes;in time;in times
in-tune,intune;intunes;in tune;in tunes
in-turn,inturn;inturns;in turn;in turns
in-vain,invain;invains;in vain;in vains
in-writing,inwriting;inwritings;in writing;in writings
in-your-heart,inyourheart;inyourhearts;in your heart;in your hearts
indefinite-article,indefinitearticle;indefinitearticles;indefinite article;indefinite articles
individual-evidence,individualevidence;individualevidences;individual evidence;individual evidences
infected-,infected;infecteds;infected ;infected s
infection-,infection;infections;infection ;infection s
inside-out,insideout;insideouts;inside out;inside outs
insofar-as,insofaras;insofarass;insofar as;insofar ass
instead-of,insteadof;insteadofs;instead of;instead ofs
intensive-care-unit,intensivecareunit;intensivecareunits;intensive care unit;intensive care units
it-follows-that,itfollowsthat;itfollowsthats;it follows that;it follows thats
it-goes-without-saying,itgoeswithoutsaying;itgoeswithoutsayings;it goes without saying;it goes without sayings
it-stands-to-reason,itstandstoreason;itstandstoreasons;it stands to reason;it stands to reasons
join-forces,joinforces;joinforcess;join forces;join forcess
jump-to-conclusions,jumptoconclusions;jumptoconclusionss;jump to conclusions;jump to conclusionss
junk-food,junkfood;junkfoods;junk food;junk foods
junk-mail,junkmail;junkmails;junk mail;junk mails
just-about,justabout;justabouts;just about;just abouts
just-as,justas;justass;just as;just ass
just-now,justnow;justnows;just now;just nows
justify-yourself,justifyyourself;justifyyourselfs;justify yourself;justify yourselfs
keep-a-cool-head,keepacoolhead;keepacoolheads;keep a cool head;keep a cool heads
keep-a-low-profile,keepalowprofile;keepalowprofiles;keep a low profile;keep a low profiles
keep-a-straight-face,keepastraightface;keepastraightfaces;keep a straight face;keep a straight faces
keep-in-shape,keepinshape;keepinshapes;keep in shape;keep in shapes
keep-in-touch,keepintouch;keepintouchs;keep in touch;keep in touchs
keep-track,keeptrack;keeptracks;keep track;keep tracks
keep-your-cool,keepyourcool;keepyourcools;keep your cool;keep your cools
keep-your-head-above-water,keepyourheadabovewater;keepyourheadabovewaters;keep your head above water;keep your head above waters
keep-your-mouth-shut,keepyourmouthshut;keepyourmouthshuts;keep your mouth shut;keep your mouth shuts
keep-your-temper,keepyourtemper;keepyourtempers;keep your temper;keep your tempers
keep-your-word,keepyourword;keepyourwords;keep your word;keep your words
kick-in,kickin;kickins;kick in;kick ins
kick-off,kickoff;kickoffs;kick off;kick offs
kick-yourself,kickyourself;kickyourselfs;kick yourself;kick yourselfs
kill-time,killtime;killtimes;kill time;kill times
kind-of,kindof;kindofs;kind of;kind ofs
know-best,knowbest;knowbests;know best;know bests
know-better,knowbetter;knowbetters;know better;know betters
know-what-you-are-talking-about,knowwhatyouaretalkingabout;knowwhatyouaretalkingabouts;know what you are talking about;know what you are talking abouts
know-your-stuff,knowyourstuff;knowyourstuffs;know your stuff;know your stuffs
lab-results,labresults;labresultss;lab results;lab resultss
large-scale,largescale;largescales;large scale;large scales
last-but-not-least,lastbutnotleast;lastbutnotleasts;last but not least;last but not leasts
last-name,lastname;lastnames;last name;last names
last-night,lastnight;lastnights;last night;last nights
later-on,lateron;laterons;later on;later ons
law-and-order,lawandorder;lawandorders;law and order;law and orders
lay-eggs,layeggs;layeggss;lay eggs;lay eggss
lead-investigator,leadinvestigator;leadinvestigators;lead investigator;lead investigators
leave-no-stone-unturned,leavenostoneunturned;leavenostoneunturneds;leave no stone unturned;leave no stone unturneds
leave-someone-to-their-own-devices,leavesomeonetotheirowndevices;leavesomeonetotheirowndevicess;leave someone to their own devices;leave someone to their own devicess
let-alone,letalone;letalones;let alone;let alones
let-go,letgo;letgos;let go;let gos
let-off-steam,letoffsteam;letoffsteams;let off steam;let off steams
let-your-guard-down,letyourguarddown;letyourguarddowns;let your guard down;let your guard downs
let-your-hair-down,letyourhairdown;letyourhairdowns;let your hair down;let your hair downs
lie-ahead,lieahead;lieaheads;lie ahead;lie aheads
lie-down,liedown;liedowns;lie down;lie downs
life-span,lifespan;lifespans;life span;life spans
life-support,lifesupport;lifesupports;life support;life supports
life-threatening,lifethreatening;lifethreatenings;life threatening;life threatenings
light-headed,lightheaded;lightheadeds;light headed;light headeds
like-crazy,likecrazy;likecrazys;like crazy;like crazys
like-i-said,likeisaid;likeisaids;like i said;like i saids
like-mad,likemad;likemads;like mad;like mads
likes-and-dislikes,likesanddislikes;likesanddislikess;likes and dislikes;likes and dislikess
listen-in,listenin;listenins;listen in;listen ins
little-by-little,littlebylittle;littlebylittles;little by little;little by littles
live-together,livetogether;livetogethers;live together;live togethers
living-room,livingroom;livingrooms;living room;living rooms
long-ago,longago;longagos;long ago;long agos
long-before,longbefore;longbefores;long before;long befores
long-standing,longstanding;longstandings;long standing;long standings
long-term,longterm;longterms;long term;long terms
look-ahead,lookahead;lookaheads;look ahead;look aheads
look-back,lookback;lookbacks;look back;look backs
look-like,looklike;looklikes;look like;look likes
look-on-the-bright-side,lookonthebrightside;lookonthebrightsides;look on the bright side;look on the bright sides
look-up,lookup;lookups;look up;look ups
loom-large,loomlarge;loomlarges;loom large;loom larges
loosen-up,loosenup;loosenups;loosen up;loosen ups
lose-count,losecount;losecounts;lose count;lose counts
lose-face,loseface;losefaces;lose face;lose faces
lose-sleep-over-something,losesleepoversomething;losesleepoversomethings;lose sleep over something;lose sleep over somethings
lose-touch,losetouch;losetouchs;lose touch;lose touchs
lose-track,losetrack;losetracks;lose track;lose tracks
lose-your-balance,loseyourbalance;loseyourbalances;lose your balance;lose your balances
lose-your-cool,loseyourcool;loseyourcools;lose your cool;lose your cools
lose-your-head,loseyourhead;loseyourheads;lose your head;lose your heads
lose-your-life,loseyourlife;loseyourlifes;lose your life;lose your lifes
lose-your-temper,loseyourtemper;loseyourtempers;lose your temper;lose your tempers
lose-your-voice,loseyourvoice;loseyourvoices;lose your voice;lose your voices
love-at-first-sight,loveatfirstsight;loveatfirstsights;love at first sight;love at first sights
main-course,maincourse;maincourses;main course;main courses
major-in,majorin;majorins;major in;major ins
make-a-face,makeaface;makeafaces;make a face;make a faces
make-a-fool-of-yourself,makeafoolofyourself;makeafoolofyourselfs;make a fool of yourself;make a fool of yourselfs
make-a-name-for-yourself,makeanameforyourself;makeanameforyourselfs;make a name for yourself;make a name for yourselfs
make-a-run-for-it,makearunforit;makearunforits;make a run for it;make a run for its
make-a-splash,makeasplash;makeasplashs;make a splash;make a splashs
make-ends-meet,makeendsmeet;makeendsmeets;make ends meet;make ends meets
make-sense,makesense;makesenses;make sense;make senses
make-sure,makesure;makesures;make sure;make sures
make-time,maketime;maketimes;make time;make times
make-up-your-mind-or-make-your-mind-up,makeupyourmindormakeyourmindup;makeupyourmindormakeyourmindups;make up your mind or make your mind up;make up your mind or make your mind ups
make-waves,makewaves;makewavess;make waves;make wavess
make-your-blood-boil,makeyourbloodboil;makeyourbloodboils;make your blood boil;make your blood boils
make-your-blood-run-cold,makeyourbloodruncold;makeyourbloodruncolds;make your blood run cold;make your blood run colds
make-your-presence-felt,makeyourpresencefelt;makeyourpresencefelts;make your presence felt;make your presence felts
make-your-way,makeyourway;makeyourways;make your way;make your ways
make-yourself-at-home,makeyourselfathome;makeyourselfathomes;make yourself at home;make yourself at homes
make-yourself-understood,makeyourselfunderstood;makeyourselfunderstoods;make yourself understood;make yourself understoods
margin-of-error,marginoferror;marginoferrors;margin of error;margin of errors
martial-art,martialart;martialarts;martial art;martial arts
mass-media,massmedia;massmedias;mass media;mass medias
may-have,mayhave;mayhaves;may have;may haves
mean-well,meanwell;meanwells;mean well;mean wells
med-school,medschool;medschools;med school;med schools
medical-school,medicalschool;medicalschools;medical school;medical schools
mess-around,messaround;messarounds;mess around;mess arounds
message-board,messageboard;messageboards;message board;message boards
might-have,mighthave;mighthaves;might have;might haves
mind-your-own-business,mindyourownbusiness;mindyourownbusinesss;mind your own business;mind your own businesss
mineral-water,mineralwater;mineralwaters;mineral water;mineral waters
miss-out,missout;missouts;miss out;miss outs
miss-the-boat,misstheboat;misstheboats;miss the boat;miss the boats
more-and-more,moreandmore;moreandmores;more and more;more and mores
more-or-less,moreorless;moreorlesss;more or less;more or lesss
mother-tongue,mothertongue;mothertongues;mother tongue;mother tongues
mount-up,mountup;mountups;mount up;mount ups
mouth-of-a-river,mouthofariver;mouthofarivers;mouth of a river;mouth of a rivers
move-in,movein;moveins;move in;move ins
move-on,moveon;moveons;move on;move ons
move-out,moveout;moveouts;move out;move outs
movie-theater,movietheater;movietheaters;movie theater;movie theaters
muddle-through,muddlethrough;muddlethroughs;muddle through;muddle throughs
native-speaker,nativespeaker;nativespeakers;native speaker;native speakers
navy-blue,navyblue;navyblues;navy blue;navy blues
neck-and-neck,neckandneck;neckandnecks;neck and neck;neck and necks
needless-to-say,needlesstosay;needlesstosays;needless to say;needless to says
never-mind,nevermind;neverminds;never mind;never minds
new-blood,newblood;newbloods;new blood;new bloods
next-door,nextdoor;nextdoors;next door;next doors
next-to,nextto;nexttos;next to;next tos
no-doubt,nodoubt;nodoubts;no doubt;no doubts
no-end,noend;noends;no end;no ends
no-longer,nolonger;nolongers;no longer;no longers
no-need,noneed;noneeds;no need;no needs
no-one,noone;noones;no one;no ones
no-such-thing,nosuchthing;nosuchthings;no such thing;no such things
no-thanks,nothanks;nothankss;no thanks;no thankss
no-way,noway;noways;no way;no ways
no-wonder,nowonder;nowonders;no wonder;no wonders
not-a-single-thing,notasinglething;notasinglethings;not a single thing;not a single things
not-at-all,notatall;notatalls;not at all;not at alls
not-bad,notbad;notbads;not bad;not bads
not-be-on-speaking-terms,notbeonspeakingterms;notbeonspeakingtermss;not be on speaking terms;not be on speaking termss
not-be-the-end-of-the-world,notbetheendoftheworld;notbetheendoftheworlds;not be the end of the world;not be the end of the worlds
not-believe-your-ears,notbelieveyourears;notbelieveyourearss;not believe your ears;not believe your earss
not-believe-your-eyes,notbelieveyoureyes;notbelieveyoureyess;not believe your eyes;not believe your eyess
not-even,noteven;notevens;not even;not evens
not-exactly,notexactly;notexactlys;not exactly;not exactlys
not-have-a-clue,nothaveaclue;nothaveaclues;not have a clue;not have a clues
not-have-the-faintest-idea,nothavethefaintestidea;nothavethefaintestideas;not have the faintest idea;not have the faintest ideas
not-hold-water,notholdwater;notholdwaters;not hold water;not hold waters
not-in-the-least,notintheleast;notintheleasts;not in the least;not in the leasts
not-judge-a-book-by-its-cover,notjudgeabookbyitscover;notjudgeabookbyitscovers;not judge a book by its cover;not judge a book by its covers
not-least,notleast;notleasts;not least;not leasts
not-only,notonly;notonlys;not only;not onlys
not-quite,notquite;notquites;not quite;not quites
not-really,notreally;notreallys;not really;not reallys
not-sleep-a-wink,notsleepawink;notsleepawinks;not sleep a wink;not sleep a winks
not-think-straight,notthinkstraight;notthinkstraights;not think straight;not think straights
not-think-twice,notthinktwice;notthinktwices;not think twice;not think twices
not-to-mention,nottomention;nottomentions;not to mention;not to mentions
not-too,nottoo;nottoos;not too;not toos
not-until,notuntil;notuntils;not until;not untils
nothing-but,nothingbut;nothingbuts;nothing but;nothing buts
now-and-then,nowandthen;nowandthens;now and then;now and thens
nowhere-near,nowherenear;nowherenears;nowhere near;nowhere nears
odds-and-ends,oddsandends;oddsandendss;odds and ends;odds and endss
of-course,ofcourse;ofcourses;of course;of courses
of-course-not,ofcoursenot;ofcoursenots;of course not;of course nots
of-your-own,ofyourown;ofyourowns;of your own;of your owns
of-your-own-accord,ofyourownaccord;ofyourownaccords;of your own accord;of your own accords
off-duty,offduty;offdutys;off duty;off dutys
off-the-beaten-track,offthebeatentrack;offthebeatentracks;off the beaten track;off the beaten tracks
oh-well,ohwell;ohwells;oh well;oh wells
old-fashioned,oldfashioned;oldfashioneds;old fashioned;old fashioneds
old-friend,oldfriend;oldfriends;old friend;old friends
on-average,onaverage;onaverages;on average;on averages
on-balance,onbalance;onbalances;on balance;on balances
on-board,onboard;onboards;on board;on boards
on-display,ondisplay;ondisplays;on display;on displays
on-duty,onduty;ondutys;on duty;on dutys
on-fire,onfire;onfires;on fire;on fires
on-foot,onfoot;onfoots;on foot;on foots
on-hand,onhand;onhands;on hand;on hands
on-hold,onhold;onholds;on hold;on holds
on-impulse,onimpulse;onimpulses;on impulse;on impulses
on-loan,onloan;onloans;on loan;on loans
on-location,onlocation;onlocations;on location;on locations
on-occasion,onoccasion;onoccasions;on occasion;on occasions
on-principle,onprinciple;onprinciples;on principle;on principles
on-purpose,onpurpose;onpurposes;on purpose;on purposes
on-sale,onsale;onsales;on sale;on sales
on-short-notice,onshortnotice;onshortnotices;on short notice;on short notices
on-show,onshow;onshows;on show;on shows
on-site,onsite;onsites;on site;on sites
on-the-air,ontheair;ontheairs;on the air;on the airs
on-the-contrary,onthecontrary;onthecontrarys;on the contrary;on the contrarys
on-the-dot,onthedot;onthedots;on the dot;on the dots
on-the-face-of-it,onthefaceofit;onthefaceofits;on the face of it;on the face of its
on-the-horizon,onthehorizon;onthehorizons;on the horizon;on the horizons
on-the-increase,ontheincrease;ontheincreases;on the increase;on the increases
on-the-job,onthejob;onthejobs;on the job;on the jobs
